City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chuy,UY,80.29,overcast clouds,-33.6971,-53.4616,Alerces
2,Rikitea,PF,77.29,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
4,New Norfolk,AU,58.71,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
8,Punta Arenas,CL,55.51,scattered clouds,-53.15,-70.9167,Hotel Lacolet
12,Mount Gambier,AU,50.47,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
13,Namibe,AO,70.75,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
14,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Pearl Resort
15,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
16,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
19,Rawson,AR,67.84,clear sky,-43.3002,-65.1023,Hotel Deportivo
20,Miranda,CO,82.53,scattered clouds,3.2499,-76.2281,Encantos
22,Hermanus,ZA,66.79,overcast clouds,-34.4187,19.2345,Aloe guest house
24,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti International Resort
34,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Page 63 hostel
35,Yulara,AU,71.35,few clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
39,Mercedes,AR,85.86,overcast clouds,-34.6515,-59.4307,Gran Hotel Mercedes
41,Honiara,SB,77.86,overcast clouds,-9.4333,159.95,King Solomon Hotel
42,Tagusao,PH,78.85,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
43,Garowe,SO,74.66,scattered clouds,8.4054,48.4845,Red Sea
45,Cidreira,BR,75.45,clear sky,-30.1811,-50.2056,Hotel Castelo
47,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Horisun
49,Matara,LK,75.25,few clouds,5.9485,80.5353,Villa Palm Breeze
52,Ternate,ID,81.07,overcast clouds,0.8,127.4,Boulivard ternate
55,Ambon,ID,78.24,overcast clouds,-3.6954,128.1814,Hotel Hero
56,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Grand Bel Air
58,Hobart,AU,59.05,overcast clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
62,Hilo,US,71.26,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
65,Bridgeport,US,52.48,overcast clouds,41.167,-73.2048,Holiday Inn
68,Sinnamary,GF,80.35,overcast clouds,5.3833,-52.95,Hôtel du fleuve
70,Sao Jose Da Coroa Grande,BR,83.61,broken clouds,-8.8978,-35.1478,Hotel do Sol
72,Kapaa,US,71.92,clear sky,22.0752,-159.319,Pono Kai Resort
73,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Mabassa
75,Port Lincoln,AU,57.67,scattered clouds,-34.7333,135.8667,Boston Hotel
77,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
82,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,Le Baril
86,Moron,AR,85.96,broken clouds,-34.6534,-58.6198,La Esquina
87,Kupang,ID,79.12,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
88,Gunjur,GM,89.67,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
91,Isangel,VU,78.82,broken clouds,-19.55,169.2667,Tanna Lodge
95,Mecca,SA,66.45,scattered clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
98,Lorengau,PG,82.51,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
99,Guerrero Negro,MX,64.2,broken clouds,27.9769,-114.0611,Plaza sal paraiso
100,Saldanha,ZA,69.85,overcast clouds,-33.0117,17.9442,Hoedjesbaai
103,Ancud,CL,58.6,scattered clouds,-41.8697,-73.8203,Cabañas
104,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Hotel SkylineInn
105,Port Elizabeth,ZA,67.1,light rain,-33.918,25.5701,Waterford Hotel
109,Mar Del Plata,AR,78.82,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
112,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,Hotel Iberia
116,Bhandara,IN,67.15,clear sky,21.1667,79.65,Hotel Royal Plaza
119,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Apart Hotel Geotel Calama
122,Kawalu,ID,72.07,overcast clouds,-7.3817,108.2082,Hotel Surya
124,Marawi,PH,69.22,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
125,Tambun,ID,80.49,overcast clouds,-6.2641,107.0712,Hotel SM
128,Feijo,BR,82.6,few clouds,-8.1642,-70.3536,Hotel JOAFRAN
130,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,losmen Surya
135,Ponta Do Sol,PT,69.01,clear sky,32.6667,-17.1,Estalagem Ponta do Sol
137,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Vahiny Hotel
139,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Fidji Motel
141,Ballina,AU,70.02,overcast clouds,-28.8667,153.5667,Ballina Beach Resort
142,Villaviciosa,ES,61.61,overcast clouds,43.4813,-5.4357,Casa España
143,Bredasdorp,ZA,66.9,overcast clouds,-34.5322,20.0403,Victoria Hotel
144,San Quintin,MX,64.08,clear sky,30.4833,-115.95,Jardines Hotel
145,Cape Town,ZA,73.38,broken clouds,-33.9258,18.4232,Townhouse Hotel
152,Soyo,AO,78.64,broken clouds,-6.1349,12.3689,Hotel Maria Teres
153,Atar,MR,75.4,clear sky,20.5169,-13.0499,فندق سكليل
154,Te Anau,NZ,50.4,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
155,Castro,BR,69.82,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
156,Rio Grande,BR,89.71,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
157,Makakilo City,US,72.19,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
158,Ndjole,GA,75.25,light rain,-0.1783,10.7649,Motel Kedyann
160,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Pebbles Inn
162,Kavieng,PG,81.99,broken clouds,-2.5744,150.7967,Kavieng Hotel
164,Margate,GB,52.11,overcast clouds,51.3813,1.3862,The Reading Rooms
165,Lagoa,PT,57.6,light rain,39.05,-27.9833,Casa da Madrinha
166,Eureka,US,60.26,overcast clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
167,Marsh Harbour,BS,77.36,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
169,Creel,MX,56.84,clear sky,27.75,-107.6333,Hotel Cascada inn
171,Mogadishu,SO,78.24,scattered clouds,2.0371,45.3438,SYL Hotel
174,Capao Da Canoa,BR,73.62,clear sky,-29.7456,-50.0097,Hotel Serramar
176,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
178,Faanui,PF,79.47,moderate rain,-16.4833,-151.75,Oa Oa Lodge
180,Sarramea,NC,76.41,scattered clouds,-21.6421,165.8452,Evasion
181,Aswan,EG,67.3,clear sky,24.0934,32.907,Yaseen hotel
190,Looc,PH,77.0,overcast clouds,12.2605,121.9926,Angelique hotel
191,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Port Wine Guest House
194,Santo Domingo,DO,83.84,broken clouds,18.5001,-69.9886,Hotel Villa Campo
196,Yarmouth,US,56.64,mist,41.7057,-70.2286,The Inn At Cape Cod
197,Banda Aceh,ID,77.52,few clouds,5.5577,95.3222,Hotel 61
199,Bodden Town,KY,81.93,scattered clouds,19.2833,-81.25,Turtle Nest Inn
205,Mayumba,GA,75.33,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
208,Pemba,MZ,77.7,moderate rain,-12.974,40.5178,Hotel Rafael
214,Praya,CV,81.14,few clouds,14.9215,-23.5087,Casa Sodadi
215,Alice Springs,AU,71.15,overcast clouds,-23.7,133.8833,Aurora Alice Springs
217,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,Cape Garden
218,Florianopolis,BR,78.55,scattered clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
219,Bikaner,IN,54.73,clear sky,28.0167,73.3,Hotel Taj Restaurant
222,Victoria,HK,62.26,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
224,Rio Claro,BR,79.99,broken clouds,-22.4114,-47.5614,Hotel Premier
227,Bengkulu,ID,75.92,overcast clouds,-3.8004,102.2655,Dena Hotel
232,Tezpur,IN,60.62,clear sky,26.6333,92.8,Hotel Basant
233,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue
234,Lucea,JM,84.06,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
237,Lompoc,US,52.52,mist,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
240,Raymond,US,53.24,overcast clouds,43.9015,-70.4703,Migis Lodge
242,Safford,US,55.11,clear sky,32.834,-109.7076,Quality Inn And Suites
243,Ponta Delgada,PT,59.72,few clouds,37.7333,-25.6667,Hotel Talisman
247,Cao Bang,VN,52.52,few clouds,22.6667,106.25,SONG HIEN HOTEL
251,Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
257,Sao Filipe,CV,77.61,clear sky,14.8961,-24.4956,Bela Vista
260,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Prainha
