City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,59.85,58,2,25.77,clear sky
1,Chuy,UY,-33.6971,-53.4616,80.29,51,94,14.45,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,77.29,73,100,11.74,overcast clouds
3,Chegdomyn,RU,51.1167,133.0167,-0.81,96,88,2.59,overcast clouds
4,New Norfolk,AU,-42.7826,147.0587,58.71,69,100,3.0,overcast clouds
5,Tarabha,IN,20.7333,83.65,62.83,43,1,2.82,clear sky
6,Grindavik,IS,63.8424,-22.4338,21.67,79,75,6.91,broken clouds
7,Ushuaia,AR,-54.8,-68.3,49.66,50,75,21.85,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,55.51,38,40,27.63,scattered clouds
9,Pangnirtung,CA,66.1451,-65.7125,3.2,60,75,3.44,broken clouds
10,Mataura,NZ,-46.1927,168.8643,51.33,100,100,0.83,overcast clouds
11,Albany,US,42.6001,-73.9662,48.85,88,99,3.0,overcast clouds
12,Mount Gambier,AU,-37.8333,140.7667,50.47,91,100,4.05,overcast clouds
13,Namibe,AO,-15.1961,12.1522,70.75,75,55,10.36,broken clouds
14,Atuona,PF,-9.8,-139.0333,77.58,79,38,17.38,scattered clouds
15,Hambantota,LK,6.1241,81.1185,78.8,81,50,3.76,scattered clouds
16,Avarua,CK,-21.2078,-159.775,77.05,83,81,6.91,broken clouds
17,Katsuura,JP,35.1333,140.3,41.02,59,1,33.53,clear sky
18,Wattegama,LK,6.7989,81.4808,73.51,92,59,2.75,broken clouds
19,Rawson,AR,-43.3002,-65.1023,67.84,23,1,18.39,clear sky
20,Miranda,CO,3.2499,-76.2281,82.53,64,31,4.21,scattered clouds
21,Thompson,CA,55.7435,-97.8558,-16.44,69,20,10.36,few clouds
22,Hermanus,ZA,-34.4187,19.2345,66.79,81,99,16.02,overcast clouds
23,Grand Island,US,40.925,-98.342,4.19,62,0,21.85,clear sky
24,Vaini,TO,-21.2,-175.2,75.36,100,40,5.75,light rain
25,Lavrentiya,RU,65.5833,-171.0,15.48,75,1,15.23,clear sky
26,Muli,MV,2.9167,73.5667,79.79,82,58,10.42,broken clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,9.22,clear sky
28,Nikolskoye,RU,59.7035,30.7861,33.8,99,100,7.02,overcast clouds
29,Gushikawa,JP,26.3544,127.8686,56.43,62,100,13.8,overcast clouds
30,Talnakh,RU,69.4865,88.3972,-14.33,96,89,10.0,overcast clouds
31,Port Alfred,ZA,-33.5906,26.891,66.18,93,100,1.99,moderate rain
32,Saskylakh,RU,71.9167,114.0833,-17.25,96,98,3.67,overcast clouds
33,Qaanaaq,GL,77.484,-69.3632,-17.3,61,1,8.57,clear sky
34,Georgetown,MY,5.4112,100.3354,81.9,79,20,4.61,few clouds
35,Yulara,AU,-25.2406,130.9889,71.35,72,11,5.46,few clouds
36,Busselton,AU,-33.65,115.3333,56.98,79,45,9.84,scattered clouds
37,Kodiak,US,57.79,-152.4072,35.11,75,100,21.85,snow
38,Zonguldak,TR,41.25,31.8333,40.03,75,0,2.86,clear sky
39,Mercedes,AR,-34.6515,-59.4307,85.86,29,98,8.97,overcast clouds
40,Kruisfontein,ZA,-34.0033,24.7314,64.89,67,76,3.0,broken clouds
41,Honiara,SB,-9.4333,159.95,77.86,88,100,3.36,overcast clouds
42,Tagusao,PH,9.1924,117.8141,78.85,87,100,8.43,overcast clouds
43,Garowe,SO,8.4054,48.4845,74.66,66,26,19.57,scattered clouds
44,Tasiilaq,GL,65.6145,-37.6368,6.96,62,0,3.76,clear sky
45,Cidreira,BR,-30.1811,-50.2056,75.45,62,0,17.65,clear sky
46,Taywarah,AF,33.35,64.4167,24.75,50,26,1.72,scattered clouds
47,Quatre Cocos,MU,-20.2078,57.7625,78.1,73,53,9.1,broken clouds
48,Carnarvon,AU,-24.8667,113.6333,78.03,75,2,9.53,clear sky
49,Matara,LK,5.9485,80.5353,75.25,92,13,6.22,few clouds
50,Yar-Sale,RU,66.8333,70.8333,-0.56,99,98,5.46,overcast clouds
51,Codrington,AU,-38.2667,141.9667,52.79,90,100,6.29,overcast clouds
52,Ternate,ID,0.8,127.4,81.07,79,93,1.41,overcast clouds
53,Bluff,NZ,-46.6,168.3333,53.67,80,100,0.63,overcast clouds
54,Butaritari,KI,3.0707,172.7902,81.18,78,100,21.47,overcast clouds
55,Ambon,ID,-3.6954,128.1814,78.24,15,94,1.1,overcast clouds
56,Mahebourg,MU,-20.4081,57.7,78.26,78,20,5.75,few clouds
57,Saint George,US,37.1041,-113.5841,44.26,57,40,5.75,scattered clouds
58,Hobart,AU,-42.8794,147.3294,59.05,91,100,10.36,overcast clouds
59,Paveh,IR,35.0434,46.3565,43.75,57,100,5.14,overcast clouds
60,Sept-Iles,CA,50.2001,-66.3821,23.0,88,100,14.97,overcast clouds
61,Asau,RO,46.4333,26.4,25.72,86,36,5.77,scattered clouds
62,Hilo,US,19.7297,-155.09,71.26,84,40,6.91,scattered clouds
63,Tiksi,RU,71.6872,128.8694,-11.51,100,79,2.57,broken clouds
64,Khatanga,RU,71.9667,102.5,-30.87,100,9,3.2,clear sky
65,Bridgeport,US,41.167,-73.2048,52.48,85,100,21.0,overcast clouds
66,Sola,VU,-13.8833,167.55,82.49,73,23,11.21,few clouds
67,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,27,0,11.5,clear sky
68,Sinnamary,GF,5.3833,-52.95,80.35,68,99,8.79,overcast clouds
69,Rancho Palos Verdes,US,33.7445,-118.387,63.91,76,0,1.99,haze
70,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.61,63,74,13.49,broken clouds
71,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,21.85,light rain
72,Kapaa,US,22.0752,-159.319,71.92,83,0,4.61,clear sky
73,Quelimane,MZ,-17.8786,36.8883,78.75,73,20,4.61,few clouds
74,Gobabis,NA,-22.45,18.9667,74.12,49,92,18.9,overcast clouds
75,Port Lincoln,AU,-34.7333,135.8667,57.67,80,47,6.15,scattered clouds
76,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,55,100,5.75,overcast clouds
77,Puerto Ayora,EC,-0.7393,-90.3518,80.56,95,63,5.99,broken clouds
78,Dikson,RU,73.5069,80.5464,-4.9,89,100,27.4,overcast clouds
79,Yellowknife,CA,62.456,-114.3525,-35.88,67,20,5.75,few clouds
80,Tuatapere,NZ,-46.1333,167.6833,52.2,92,100,0.51,overcast clouds
81,Hasaki,JP,35.7333,140.8333,32.4,50,0,28.39,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,80.19,83,92,9.64,overcast clouds
83,Tura,IN,25.5198,90.2201,58.96,75,14,3.67,few clouds
84,Olafsvik,IS,64.8945,-23.7142,25.74,63,84,12.44,broken clouds
85,Severo-Kurilsk,RU,50.6789,156.125,32.29,97,100,35.95,snow
86,Moron,AR,-34.6534,-58.6198,85.96,54,82,5.84,broken clouds
87,Kupang,ID,-10.1667,123.5833,79.12,85,100,5.95,overcast clouds
88,Gunjur,GM,13.2019,-16.7339,89.67,25,0,11.3,clear sky
89,Demidov,RU,55.2706,31.515,33.57,100,100,7.25,overcast clouds
90,Yermakovskoye,RU,53.2831,92.4003,-14.93,100,45,2.01,scattered clouds
91,Isangel,VU,-19.55,169.2667,78.82,83,80,7.16,broken clouds
92,Plaeng Yao,TH,13.5847,101.284,79.77,33,29,7.38,scattered clouds
93,Wicklow,IE,53.0,-6.4167,44.04,86,88,10.47,overcast clouds
